palabra;significado
Aleteado;Estar de mal genio
Alevoso;Persona agresiva
Alonar;Caerse
Amarrado;Presencia de policia
Bacán;Persona buena gente
Bacano;Algo bueno
Bachitonto;Auxiliar de policia
Bailao;Golpe
Balin;Bala
Balseado;Chévere
Bandera;Mal presentado
Bareto;Un cigarrillo de Marihuana
Vasca, techo;Cachucha, gorra
Bicha;Bolsa de bazuco
Burra;Bicicleta
Cabra;Navaja
Cachivachero;Compra cosas
Calvo;Fosforo
Camellar;Trabajar
Campanero;Persona que trabaja avisando algo
Canazo;Caer a la cárcel
Carraman;Persona consumidora de bazuco
Carrarmana;Mujer que vende el cuerpo por bazuco
Carrito;Persona utilizada por otros para hacer cosas, mandados
Chirri, chirrete;Consumdor de bazuco
Chompa;Chaqueta
Chorro;Beber licor
Chuki;Mujer fea
Cochorno;Restos del bazuco
Coger, atrapar;Robar a una persona
Coja la curva;Retirese
Comelona;Comer mucho
Conspirar;Habildad para engañar, mentir a cambio de algo
Cuero;Papel utilizado para hacer un cigarrillo de Marihuana
Déjeme sano;No molestar
Diller;Persona que vende bazuco
Echar mano;Asaltar
El bicho;Celular
Encaletar;Esconder
Escoba;Persona que roba de todo
Estar largo;Tener mucho dinero
Estrellarse;Salirle algo mal
Estuchero;Persona que abre y roba carros
Faltón;Abusivo
Gale;Pegante
Garbinba;Persona no grata
Gurbia;Estar con hambre
Hágalo real;Actuar
Jibaro;Persona que vende bazuco
La buena;Tenerle confianza a alguien
La chimba;No estar de acuerdo
La liga;Dar limosna
Lamina;Cuchillo o metal afilado
Las locas;Nombre dado a la policía
Liebre;Enemigo
Liga;Dar monedas
Lleca;La calle
Llevado;Persona descuidada
Lo rompo;Sacarle sangre, con golpes o navaja
Lujoso;Ladrón de lujos de carro
Mario;Señal con el que se avisa que viene la policía
Matadora;Tarro de pegante
Me la armo;Buscar pleito
Me lo fume;Asesinar a una persona
Me lo lambo, me lo chasqueo, me lo fumo;Asesinar a una persona
Mi jermu;La mujer
Mi pelo;Nombre dado a la novia o novio
Mi pulmón;Cuchillo o navaja
Moño;Bolsa de Marihuana
Motoso;Hacer siesta
No copeo;No hacer caso
No me deje morir;No abandonar en situación difícil
No me torture;No me haga esperar
No miente;Dar la palabra
Olla;Lugar donde se expende spa
Paniquiado;Asustado
Parche;Lugar de encuentro
Pata;El final de un bareto
Pataso;Oportunidad para robar
Pato;Colado, persona nueva en la olla
Péguelo;Ensamblar un bareto
Pepazo;Disparo
Percho;Persona bien vestida o tener gusto por algo
Perico;Spa que se inhala
Perrito;Socio, compañero
Pirobo;Persona no grata
Pipa;Instrumento utilizado para consumir bazuco
Pisos;Zapatos
Puntazo;Dar una puñalada
Raquetiar;Esculcar
Rayo, rayolero;Rápido, ágil
Retacar;Pedir
Romper;Chuzar con algo a una persona
Saya;Pernos que cuida los expendidos de spa
Se lo fumaron;Lo mataron
Siéntalo;Hacerse cargo de algo
Taquilla;Lugar donde se expende bazuco
Taquillero;Persona que expende spa
Terapia;Restos del bazuco
Terapia dora;Objeto de una sombrilla para raspar la pipa
Tillas;Tenis
Todo copas;Todo está bien
Tombo;Policía
Traba;Estar consumido de bazuco
Trafuga;Persona de doble moral
Traído;Enemigo
Un carrazo;Una aspirada de bazuco
Un pipazo;Una aspirada de bazuco
Una india catalina;Billete de cinco mil
Vamos hacerlo, ir a la pista;Ir a robar
Veo;Dejar ver
Visaje;Gesto
Wimpy;Nombre dado a la comida en los centros carcelarios y atención
